correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
দিনব্যাপী,dinvyapi,দিনবাাপী,dinwapi,"dinwapi,",,no
কোর্সের,courser,কোরসের,korsser,"krosser,","ক্রোড়ের, ",no
ইনস্টিটিউটে,institut,ইনসতিটিউটে,institut,"institut,","ইনস্টিটিউটে, ",yes
কর্মসূচিতে,karmasuchite,করসূচিতে,karasuchite,"karmasuchite,","কর্মসূচিতে, ",yes
কর্মকর্তা,karmakarta,করকর্তা,karkarta,"karkarta,",,no
কোর্স,course,কোরস,coras,"coral,cora,","coral, কোরা, ",no
অনুষ্ঠানে,anusthan,অনুষতানে,anushatan,"anushasan,","অনুশাসন, ",no
প্রশিক্ষণার্থীদের,prashikshanarthider,পরশিক্ষণার্থীদের,parashikshanarthider,"prashikshanarthider,","প্রশিক্ষণার্থীদের, ",yes
উপব্যবস্থাপনা,upavyavasthapana,উপেববস্থাপনা,upevbasthapana,"upevbasthapana,",,no
ইনস্টিটিউটের,instituter,ইনসতিটিউটের,instituter,"instituter,","ইনস্টিটিউটের, ",yes
কোর্সটি,corsety,কোরসটি,corsti,"corsti,",,no
সমন্বয়,samanva,সমনয়,samanaya,"samanya,","সামান্য, ",no
সদস্য,sadasya,সদেস,sades,"sides,sade,sader,sadek,","sides, সাড়ে, সাদের, সাদেক, ",no
শিপ্রা,shipra,শিপরা,shipara,"shipra,shilara,","শিপ্রা, শিলারের, ",yes
বিশ্বাস,vishwas,বিশাস,vishas,"vishap,vishwas,vishad,vishan,visham,vishal,vishaps,vishay,","বিশপ, বিশ্বাস, বিষাদ, ভিশন, বিষম, বিশাল, বিশপ্‌স্‌, বিষয়ে, ",yes
কোর্সে,course,কোরসে,korse,"kore,korte,","কোরি, কোরতে, ",no
সম্পদ,sampada,সপদ,sapad,"salad,samad,sanad,sapadi,kapad,saad,","সালাদ, সামাদ, সনদ, সপদি, কাপড়, সাড়, ",no
লন্ডারিং,landaring,লনদারিং,landaring,"landaring,","লন্ডারিং, ",yes
অভ্যন্তরীণ,abhyantarin,অেভন্তরীণ,abhantarin,"abhyantarin,","অভ্যন্তরীণ, ",yes
নিয়ন্ত্রণ,niyantran,নিয়নত্রণ,niyanthran,"niyantran,","নিয়ন্ত্রণ, ",no
পরিবেশবান্ধব,pariweshvandhav,পরিবেশবানধব,pariweshvandhav,"pariweshvandhav,","পরিবেশবান্ধব, ",yes
ব্যাংকিং,vyanking,বাাংকিং,batking,"bating,bathing,","ব্যাটিং, bathing, ",no
সম্পর্কেও,samparkeo,সপর্কেও,saparkeo,"samparkeo,","সম্পর্কেও, ",yes
বাণিজ্যিক,banigyik,বাণিেজিক,banisic,"banisic,",,no
ব্যাংকগুলোতে,vyankagulote,েবাংকগুলোতে,bankagulote,"bankagulote,",,no
ক্ষুুদ্রঋণ,khudrarun,খুুদ্রঋণ,khudrarun,"khudrarun,","ক্ষুুদ্রঋণ, ",yes
সংস্থার,sansthar,সংসতার,sansatar,"sansaar,","সংসার, ",no
ব্যবস্থা,vyavastha,েববস্থা,babastha,"babastha,",,no
ব্যবস্থার,vyavasthar,েববস্থার,babasthar,"babasthar,",,no
সার্বিক,sarvik,সারিক,sarik,"sharik,sarit,tarik,sarki,samrik,sarib,sadik,sarii,saril,sarie,sarike,saruk,saria,sarvik,sario,sari,","শরিক, সরিত, তারিক, সড়কি, সামরিক, সারিব, সাদিক, শাড়িই, সরিল, সরিয়ে, শাড়িকে, সারুক, সারিয়া, সার্বিক, শাড়িও, শাড়ি, ",yes
উন্নয়নের,unnayaner,উহ্নয়নের,uhnayaner,"ushnayaner,unnayaner,","উষ্ণায়নের, উন্নয়নএর, ",no
লক্ষ্যে,lakshye,লক্ক্যে,lakkye,"lakkye,",,no
অঙ্কে,anke,অংকে,anke,"anke,","অঙ্কে, ",yes
প্রস্তাব,prastab,পরস্তাব,parastab,"prastab,","প্রস্তাব, ",yes
ক্ষুদ্রঋণ,khudrarun,খুদ্রঋণ,khudrarun,"khudrarun,","ক্ষুুদ্রঋণ, ",no
সংস্থাসমূহের,sansthasmuher,সংসটাসমূহের,sansatasmuher,"sansatasmuher,",,no
নেটওয়ার্ক,network,নেটওয়ারক,netoyarak,"netoyarak,",,no
প্রেসক্লাব,pressclab,পরেসক্লাব,paresaklab,"paresaklab,",,no
সম্মেলনে,sammelne,সমেলনে,samelne,"sammelne,","সম্মেলনে, ",yes
কোস্ট,coast,কোসত,kosat,"kosat,",,no
ট্রাস্ট,trust,তরাস্ট,tarust,"trust,","ট্রাস্ট, ",yes
ক্রেডিট,credit,করেডিট,karedit,"karedis,","করেছিস, ",no
অ্যান্ড,and,েঅান্ড,and,"and,","অ্যান্ড, ",yes
ডেভেলপমেন্ট,develpament,ডেভেলপমেনট,develpamenat,"develpament,","ডেভেলপমেন্ট, ",yes
ইন্টারন্যাশনাল,internashnal,ইনটারন্যাশনাল,intaranashnal,"intaranashnal,","ইণ্টারন্যাশনাল, ",no
ফাইন্যান্সিয়াল,financial,ফাইনাান্সিয়াল,financial,"financial,","ফিন্যান্সিয়াল, ",no
ইনস্টিটিউশন,institushan,ইনসতিটিউশন,institushan,"institushan,","ইনস্টিটিউশন, ",yes
সম্মেলনের,sammelner,সমেলনের,samelner,"sammelner,","সম্মেলনের, ",yes
নির্বাহী,nirvahi,নিরাহী,nirahi,"nirvahi,nirani,","নির্বাহী, নিড়ানি, ",yes
সম্মেলন,sammelan,সমেলন,samelan,"sammelan,","সম্মেলন, ",yes
সঞ্চালনা,sanchalana,সঞচালনা,sanchalana,"sanchalana,","সঞ্চালনা, ",yes
ট্রাস্টের,traster,তরাস্টের,taraster,"traster,","ট্রাস্টের, ",yes
মোস্তফা,mostapha,মোসতফা,mostapha,"mostapha,","মোস্তফা, ",yes
আকন্দ,akand,আকনদ,aakanad,"aakanad,",,no
আতিকুন্নবী,atikunnavi,আতিকুহ্নবী,atikuhnavi,"atikunnavi,","আতিকুন্নবী, ",yes
প্রমুখ,pramukh,পরমুখ,paramukh,"pramukh,paranmukh,","প্রমুখ, পরাঙ্মুখ, ",yes
বক্তব্যে,baktvye,বকতব্যে,bakatvye,"baktvye,","বক্তব্যে, ",yes
সংস্থাগুলো,sansthagulo,সংসতাগুলো,sansatagulo,"sansatagulo,",,no
দরিদ্র,daridra,দরিডর,daridor,"karidor,","করিডর, ",no
মৎস্য,masya,মৎসা,masa,"mask,maso,masy,nasa,masta,masao,maha,maja,musa,masi,mast,mana,mapa,mawa,aasa,asa,masha,mala,mata,mara,mas,mase,hasa,mada,maya,masya,maga,basa,maas,mansa,wasa,","মাস্ক, মাসও, মাসি, নাসা, মাসটা, মাংসও, মহা, মজা, মুসা, মাসই, মস্ত, মন, মাপা, মাওয়া, আসা, আসায়, মশায়, মালা, মাতা, মারার, মাংস, মাসে, হাসা, মড়ার, মায়া, মৎস্য, মগা, বাসা, মাস, মনসা, ওয়াসা, ",yes
পশুসম্পদ,pashusampada,পশুসপদ,pashuspad,"pashuspad,",,no
ব্যাংকে,vyanke,বাাংকে,bake,"bake,","বকে, ",no
স্কয়ার,scyar,সকয়ার,sakayar,"sakayar,",,no
ফার্মাসিউটিক্যালসের,pharmaceuticalcer,ফারাসিউটিক্যালসের,faraciuticalcer,"faraciuticalcer,",,no
এমপ্লয়ার্স,emplayars,এমপলয়ার্স,empalyars,"emplayars,","এমপ্লয়ার্স, ",yes
নির্বাচিত,nirvachit,নিরাচিত,nirachit,"nirvachit,","নির্বাচিত, ",yes
টেক্সটাইলসের,textilser,টেকসটাইলসের,techstilser,"techstilser,",,no
তত্ত্বাবধায়ক,tattwavadhayak,তটত্বাবধায়ক,tattwavdhayak,"tattwavadhayak,","তত্ত্বাবধায়ক, ",yes
উপদেষ্টা,upadeshta,উপদেষতা,upadeshta,"upadeshta,","উপদেষ্টা, ",yes
মেট্রোপলিটন,metroplitan,মেতরোপলিটন,metaroplitan,"metroplitan,","মেট্রোপলিটন, ",yes
চেম্বার,chember,চেবার,chevar,"chekar,chelar,","চেকার, চেলার, ",no
কমার্স,commerce,কমারস,kamaras,"kamara,kanaras,kamars,","কামড়ে, কনরস, কামরস, ",no
ইন্ডাস্ট্রির,industry,ইনদাস্ট্রির,indastry,"industry,","ইন্ডাস্ট্রির, ",yes
শিল্পসহ,shilpsah,শিলপসহ,shilpasah,"shilpsah,","শিল্পসহ, ",yes
স্বাস্থ্যসেবা,swasthyaseva,সাস্থ্যসেবা,sasthyaseva,"swasthyaseva,","স্বাস্থ্যসেবা, ",yes
প্রসাধন,prasadhan,পরসাধন,parasadhan,"prasadhan,","প্রসাধন, ",yes
বস্ত্র,basture,বসট্র,bastr,"basir,bastar,baster,bastre,basti,basur,bastt,basar,bastur,basta,baser,","বাসির, বস্তার, বয়সটার, বস্ত্রে, বাসটি, বসুর, বস্তুত, বসার, বস্তুর, বস্তা, বাসের, ",no
তথ্যপ্রযুক্তি,tathyaprayukti,তেথপ্রযুক্তি,tethprayukti,"tethprayukti,",,no
নেতৃস্থানীয়,netrusthanian,নেতৃসটানীয়,netrustanian,"netrusthanian,","নেতৃস্থানীয়, ",yes
উদ্যোক্তা,udyokta,উেদোক্তা,udokta,"dokta,udyokta,","দোক্তা, উদ্যোক্তা, ",yes
কনকর্ড,kanakard,কনকরদ,kanakarad,"kanakard,","কনকর্ডে, ",no
গার্মেন্টসের,garmentser,গারেন্টসের,garrentser,"garmentser,","গার্মেন্টসের, ",yes
কার্যনির্বাহী,caryanirbahi,কােরনির্বাহী,karnirbahi,"karnirbahi,",,no
পর্ষদের,parshader,পরশদের,parasder,"parasder,",,no
সদস্যরা,sadasyara,সদসারা,sadsara,"sadsara,",,no
মোহাম্মদ,mohammad,মোহামদ,mohamad,"mohama,mohammad,","মোহময়, মোহাম্মদ, ",yes
বেঙ্গল,bengal,বেংগল,bengal,"bengal,","বেঙ্গল, ",yes
গ্লাস,glass,গলাস,galas,"galak,gala,galao,gelas,alas,galai,palas,kalas,","গলাকে, গলায়, গলাও, গেলাস, অলস, গলাই, পালাস, কলস, ",no
ওয়ার্কসের,workser,ওয়ারকসের,warkser,"workser,","ওয়ার্কসের, ",yes
জাহাঙ্গির,jahangir,জাহাংগির,jahangir,"jahangir,","জাহাঙ্গীর, ",no
গ্রিন,green,গরিন,garin,"harin,gain,marin,gardn,barin,grain,garib,garon,gari,garun,","হরিণ, gain, মারিন, গার্ড্‌ন্, বারীন, গ্রেন, গরিব, গারোঁ, গছিয়ে, গড়ুন, ",no
ডেল্টা,delta,ডেলতা,delata,"delta,denata,dewata,deyata,","ডেল্টা, দেনাটা, দেওয়াটা, দেয়াটা, ",yes
ইনস্যুরেন্স,insurance,ইনসাুরেন্স,insurance,"insurance,","ইন্স্যুরেন্স, ",no
কোম্পানির,companies,কোপানির,kopanies,"kopanies,",,no
ব্রোকারেজের,brokarager,রোকারেজের,rokarager,"brokarager,","ব্রোকারেজের, ",yes
খোন্দকার,khondkar,খোনদকার,khondkar,"khondkar,","খোন্দকার, ",yes
চেয়ারম্যান,cheyarman,চেয়ারমাান,cheyarman,"cheyarman,","চেয়ারম্যান, ",no
টেকনোহ্যাভেন,technohaven,টেকনোহাাভেন,technohaven,"technohaven,","টেকনোহ্যাভেন, ",yes
হাবিবুল্লাহ,habibullah,হাবিবুললাহ,habibullah,"habibullah,","হাবিবুল্লাহ, ",yes
ল্যাম্পসের,lampser,েলাম্পসের,lampser,"lampser,","ল্যাম্পসের, ",yes
মঈনউদ্দীন,mainuddin,মঈনউদদীন,mainaudadin,"mainaudadin,",,no
মার্কিন,markin,মারকিন,markin,"markin,","মার্কিন, ",yes
ক্রেতারা,kretara,করেতারা,karetara,"kretara,kartara,","ক্রেতারা, কর্তারা, ",yes
কর্মপরিবেশের,karmparibesher,করপরিবেশের,karaparibesher,"karmparibesher,","কর্মপরিবেশের, ",yes
উন্নয়নে,unnayane,উহ্নয়নে,uhnayane,"unnayane,","উন্নয়নে, ",no
আনুষ্ঠানিকভাবে,anushthanikbhave,আনুষতানিকভাবে,aanushatanikbhave,"aanushatanikbhave,",,no
যুক্তরাষ্ট্র,yuktarashtra,যুকতরাষ্ট্র,yuktarashtra,"yuktarashtra,","যুক্তরাষ্ট্র, ",yes
প্রতিষ্ঠান,pratishthan,পরতিষ্ঠান,paratisthan,"pratisthan,","প্রতিষ্ঠানে, ",no
শ্রমিকদের,shramikder,শরমিকদের,sharmikder,"shramikder,","শ্রমিকদের, ",yes
নিরাপত্তায়,nirapatta,নিরাপতটায়,nirapatta,"nirapatta,","নিরাপত্তা, ",no
কর্মপরিকল্পনার,karmparikalpanar,করপরিকল্পনার,karparikalpanar,"karmparikalpanar,","কর্মপরিকল্পনার, ",yes
কর্মপরিকল্পনায়,karmparikalpana,করপরিকল্পনায়,karparikalpana,"karmparikalpana,","কর্মপরিকল্পনা, ",no
পরিদর্শন,paridarshan,পরিদরশন,paridarshan,"paridarshan,","পরিদর্শন, ",yes
সুনির্দিষ্ট,sunirdisht,সুনিরডিষ্ট,sunirdisht,"sunirdisht,","সুনির্দিষ্ট, ",yes
ওয়াশিংটনভিত্তিক,washingtonvittik,ওয়াশিংটনভিততিক,washingtonvitatik,"washingtonvittik,","ওয়াশিংটনভিত্তিক, ",yes
সংস্থা,sanstha,সংসটা,sansata,"sangata,sansarta,shansata,","সঙ্গতা, সংসারটা, শাঁসটা, ",no
বাইপার্টিজান,bypartijan,বাইপারতিজান,bipartijan,"bypartijan,","বাইপার্টিজান, ",yes
সেন্টারের,centre,সেনটারের,sentare,"dentare,","ডেনচার, ",no
দপ্তরে,daptar,দপতরে,dapatare,"dapatare,",,no
অ্যালায়েন্স,allaence,েঅালায়েন্স,alaience,"alaience,",,no
ওয়ার্কার্স,workers,ওয়ারকার্স,warkars,"warkars,",,no
পক্ষ,paksh,পক্ক,pakk,"pakk,","পক্ক, ",no
কর্মপরিকল্পনা,karmparikalpana,করপরিকল্পনা,karparikalpana,"karmparikalpana,","কর্মপরিকল্পনা, ",yes
নিরাপত্তার,nirapattar,নিরাপততার,nirapattar,"nirapattar,","নিরাপত্তার, ",yes
উদ্যোগ,udyog,উেদোগ,udog,"udom,udo,dog,udyog,","উদোম, উড়ো, ডগ্‌, উদ্যোগ, ",yes
প্রধান,pradhan,পরধান,paradhan,"paradhan,","পরধন, ",no
কর্মকর্তারা,karmakartara,করকর্তারা,karkartara,"karkartara,",,no
নিরাপত্তা,nirapatta,নিরাপটটা,nirapatta,"nirapatta,","নিরাপত্তা, ",yes
পরিস্থিতি,paristhite,পরিসটিতি,paristiti,"paristiti,",,no
গ্রহণযোগ্য,grahanyogya,গরহণযোগ্য,garhanyogya,"grahanyogya,","গ্রহণযোগ্য, ",yes
পরিস্থিতির,paristiter,পরিসতিতির,paristitir,"paristiter,","পরিস্থিতির, ",yes
সমন্বিত,samanvit,সমনিত,samanit,"sammanit,samahit,samani,samanvit,","সম্মানিত, সমাহিত, সামনি, সমন্বিত, ",yes
সত্যিকার,satyikar,সতািকার,satakar,"satyakar,matakar,saakar,","সত্যকার, মটকার, সাকার, ",no
অগ্রগতির,agragati,অগরগতির,agargati,"agragati,agarvati,","অগ্রগতি, আগরবাতি, ",no
প্রত্যেকের,pratyeker,পরত্যেকের,paratyeker,"pratyeker,","প্রত্যেকের, ",yes
মধ্য,madhya,মধা,madha,"radha,madra,madla,matha,maha,madhi,madhy,medha,masha,aadha,madhav,madhya,madhu,mada,macha,sadha,makha,gadha,padha,","রাধা, মদ্র, মাদলা, মথা, মহা, মাড়ি, মধ্য়ে, মেধা, মশায়, আধা, মাধব, মধ্য, মধু, মড়ার, মাচা, সাদায়, মাখা, গাধা, পড়ায়, ",yes
ভবিষ্যতে,bhavishyate,ভবিেষতে,bhavishate,"bhavishyate,","ভবিষ্যতে, ",yes
বিয়োগান্ত,bioganta,বিয়োগানত,bioganath,"bioganath,",,no
লক্ষ্য,lakshya,লক্ক্য,lakkya,"lakkya,",,no
অংশীদারত্ব,anshidartva,অংশীদারত,anshidarat,"anshidarat,",,no
সংশ্লিষ্ট,sanshlisht,সংশলিষ্ট,sanshalisht,"sanshlisht,","সংশ্লিষ্ট, ",yes
পক্ষগুলোর,pakshagulor,পক্কগুলোর,pakkagulor,"pakkagulor,",,no
স্বচ্ছতা,swachchhata,সচ্ছতা,sachhta,"sachhta,",,no
প্রতিষ্ঠিত,pratishthit,পরতিষ্ঠিত,paratishthit,"pratishthit,","প্রতিষ্ঠিত, ",yes
প্রক্রিয়া,prakria,পরক্রিয়া,parakria,"prakria,","প্রক্রিয়া, ",no
দীর্ঘস্থায়ী,dirghasthayi,দীরঘস্থায়ী,dirghasthayi,"dirghasthayi,","দীর্ঘস্থায়ী, ",yes
পরিবর্তনের,paribartaner,পরিবরটনের,paribartner,"paribartaner,","পরিবর্তনের, ",yes
স্থানীয়,sthanian,সতানীয়,satanian,"sahanian,","সহনীয়, ",no
ডেমোক্রেটিক,democratie,ডেমোকরেটিক,democratic,"democratie,","ডেমোক্রেটিক, ",yes
পার্টির,parties,পারতির,parti,"parti,","পাড়টি, ",no
জর্জ,gorge,জরজ,jaraj,"naraj,faraj,jalaj,jairaj,jarao,garaj,paraj,daraj,jaray,jara,jaras,jasraj,","নারাজ, ফরজ, জলজ, জয়রাজ, জড়াও, গরজ, পরজ, দরাজ, জড়ায়ে, জরা, জড়াস, যশরাজ, ",no
অলিম্পিয়া,olympia,অলিপিয়া,alypia,"alypia,",,no
স্নোয়ি,snowi,সনোয়ি,sanoi,"ranoi,sanki,sanai,sani,danoi,hanoi,yanoi,sangi,janoi,","রানই, সানকি, সানাই, সাঁই, দানই, হয়ি, যানই, সঙ্গী, জানই, ",no
প্রণয়নে,pranayne,পরণয়নে,paranmane,"paranmane,",,no
গুরুত্বপূর্ণ,gurutvapurna,গুরুতপূর্ণ,gurutapurna,"gurutvapurna,","গুরুত্বপূর্ণ, ",yes
সংস্থাটির,sansthati,সংসতাটির,sansatati,"sansatati,",,no
যুক্ত,yukt,যুকত,yukat,"yukt,ukat,","যুক্ত, উৎকট, ",yes
প্রসঙ্গত,prasangat,পরসঙ্গত,parasngat,"parasngat,",,no
উন্নতিতে,unnatite,উহ্নতিতে,uhnatite,"unnatite,","উন্নতিতে, ",yes
সময়সীমাভিত্তিক,samaisimavintik,সময়সীমাভিটটিক,samaisimavintic,"samaisimavintik,","সময়সীমাভিত্তিক, ",yes
অঙ্গীকার,angikar,অংগীকার,angikar,"angikar,","অঙ্গীকার, ",yes
ক্রেতাদের,kretader,করেতাদের,karetader,"kretader,kartader,","ক্রেতাদের, কর্তাদের, ",yes
ভিত্তিতে,vittite,ভিটতিতে,bhittite,"bhitite,","ভীতিতে, ",no
আর্থিক,arthik,আরতিক,aartik,"aarti,aatik,aastik,kartik,","আরতি, আতিক, আস্তিক, কার্তিক, ",no
শর্তে,sharte,শরটে,sharte,"sharte,","শর্তে, ",yes
উল্লেখযোগ্য,ullekhayogya,উললেখযোগ্য,ulalekhayogya,"ullekhayogya,","উল্লেখযোগ্য, ",yes
নিরাপত্তামূলক,nirapattamulak,নিরাপটতামূলক,nirapattamulak,"nirapattamulak,","নিরাপত্তামূলক, ",yes
মানদণ্ড,mandand,মানদনদ,manadand,"mandand,","মানদণ্ডে, ",no
অর্থায়ন,arthayan,অরটায়ন,artayan,"arthayan,","অর্থায়ন, ",no
সম্পৃক্ততা,sampruktata,সপৃক্ততা,sapruktata,"sampruktata,","সম্পৃক্ততা, ",yes
নিরীক্ষার,nirikshar,নিরীক্কার,nirikkar,"nirikkar,",,no
বাস্তবায়ন,vastawayan,বাসটবায়ন,basatwayan,"basatwayan,",,no
পর্যবেক্ষণের,paryavekshaner,পেরবেক্ষণের,pervekshaner,"pervekshaner,",,no
কংগ্রেসের,congresser,কংগরেসের,kangrasser,"kangrasser,",,no
সদস্যের,sadasyer,সদসাের,sadsar,"sarsar,sansar,salsar,sadhar,sadar,","সর‌্সর্, সংসারে, সালসার, সাদার, সদর, ",no
নেতৃত্বে,netrutve,নেতৃতে,netrute,"netrutve,","নেতৃত্বে, ",yes
পর্ষদ,parshad,পরশদ,parashad,"parshad,parasad,parishad,","পর্ষদ, পরসাদ, পরিষদ, ",yes
পর্ষদে,parshadev,পরশদে,parashadev,"parshadev,parishadev,","পর্ষদে, পরিষদে, ",yes
সম্পৃক্ত,samprukt,সপৃক্ত,saprukt,"samprukt,","সম্পৃক্ত, ",yes
ওয়ালমার্ট,walmart,ওয়ালমারত,walmarat,"walmart,","ওয়ালমার্ট, ",yes
গ্যাপ,gap,গাাপ,gap,"gap,","গ্যাপ, ",yes
টার্গেট,target,টারগেট,targate,"targate,",,no
চিলড্রেনস,childrens,চিলদরেনস,childarens,"childrens,","childrens, ",no
প্লেস,place,পলেস,pales,"pales,","প্যালেস, ",no
খ্যাতনামা,khyatnama,খাাতনামা,khatnama,"khyatnama,","খ্যাতনামা, ",yes
প্রক্রিয়ায়,prakria,পরক্রিয়ায়,parakria,"prakria,","প্রক্রিয়া, ",no
সংস্থাগুলোর,sansthagulor,সংসটাগুলোর,sanstagulor,"sansthagulor,","সংস্থাগুলোর, ",yes
অ্যাপারেল,aparal,অাাপারেল,aparal,"aparal,","অ্যাপারেল, ",yes
ফুটওয়্যার,footoyar,ফুটওযে়ার,footoyer,"footoyar,","ফুটওয়্যার, ",no
অ্যাসোসিয়েশন,assosieshan,েঅাসোসিয়েশন,asosieshan,"assosieshan,","অ্যাসোসিয়েশন, ",yes
ন্যাশনাল,nyashnal,নাাশনাল,nashnal,"nyashnal,","ন্যাশনাল, ",yes
কাউন্সিল,council,কাউনসিল,counsil,"council,","কাউন্সিল, ",yes
ইন্ডাস্ট্রি,industry,ইনদাস্ট্রি,indastry,"industry,","ইন্ডাস্ট্রির, ",no
স্টেটস,states,সতেটস,satets,"satets,",,no
ইম্পোর্টার্স,importers,ইপোর্টার্স,eporters,"reporters,","রিপোর্টার্স, ",no
টেক্সটাইল,textile,টেকসটাইল,techstile,"techstile,",,no
শহিদুল্লাহ,shahidullah,শহিদুললাহ,shahidullah,"shahidullah,","শহিদুল্লাহ, ",yes
উদ্যোগটি,udyogti,উেদোগটি,udogti,"udyogti,","উদ্যোগটি, ",yes
প্রশংসনীয়,prashansanian,পরশংসনীয়,parashansanian,"prashansanian,","প্রশংসনীয়, ",no
বাস্তবায়নে,vastawayane,বাসতবায়নে,basatwayane,"basatwayane,",,no
পক্ষকে,pakshake,পক্ককে,pakkke,"pakkke,",,no
শ্রমমানের,shramamaner,শরমমানের,sharammaner,"sharammaner,",,no
অন্তর্ভুক্ত,antarbhukt,অনতর্ভুক্ত,antarbhukt,"antarbhukt,","অন্তর্ভুক্ত, ",yes
সেন্টারে,centre,সেনটারে,sentar,"santar,","সাঁতার, ",no
অনুষ্ঠিত,anushtit,অনুষতিত,anukhtit,"anushtit,","অনুষ্ঠিত, ",yes
প্রণয়নের,pranayner,পরণয়নের,parayner,"parayer,paraner,","পর্যায়ের, পরানের, ",no
প্রতিনিধিত্ব,pratinidhitva,পরতিনিধিত্ব,paratinidhitva,"pratinidhitva,","প্রতিনিধিত্ব, ",yes
অগ্নিকাণ্ড,agnicand,অগনিকাণ্ড,aganicand,"agnicand,","অগ্নিকাণ্ডে, ",no
স্বার্থে,swarth,সার্থে,sarth,"parth,sarti,swarth,sarch,sarte,sart,earth,aarth,arth,sarah,","পার্থ, সরটি, স্বার্থে, সার্চ, সরতে, শর্ত, earth, আর্থ, অর্থ, সারাহ্, ",yes
অপরিহার্য,apariharya,অপরিহারা,aparihara,"apariharya,","অপরিহার্য, ",yes
পদক্ষেপগুলো,padakshepgulo,পদক্কেপগুলো,padakkapgulo,"padakkapgulo,",,no
নিরাপত্তাজনিত,nirapattajnit,নিরাপটতাজনিত,nirapattajanit,"nirapattajnit,","নিরাপত্তাজনিত, ",yes
পরিদর্শনের,paridarshaner,পরিদরশনের,paridarshner,"paridarshaner,","পরিদর্শনের, ",yes
স্বচ্ছতার,swachchhatar,সচ্ছতার,sachhtar,"sachhtar,",,no
সদস্যদের,sadasyader,সদেসদের,sadesder,"sadesder,",,no
গণতান্ত্রিক,ganatantrik,গণতানত্রিক,ganatantrik,"ganatantrik,","গণতান্ত্রিক, ",yes
নির্বাচনের,nirvachner,নিরাচনের,nirachaner,"nirachaner,",,no
শ্রমিক,shramik,শরমিক,sharmik,"sharmi,shramik,dharmik,sharik,","শর্মি, শ্রমিক, ধার্মিক, শরিক, ",yes
সক্রিয়ভাবে,sakrimbhave,সকরিয়ভাবে,sakarimbhave,"sakrimbhave,","সক্রিয়ভাবে, ",yes
কর্মসূচি,karmasuchi,করসূচি,karasuchi,"karmasuchi,","কর্মসূচি, ",yes
পরিদর্শক,paridarshak,পরিদরশক,paridarshak,"paridarshak,","পরিদর্শক, ",yes
সংস্কারমূলক,sanskarmulak,সংসকারমূলক,sansakarmulak,"sanskarmulak,","সংস্কারমূলক, ",yes
