correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
বাণিজ্য,banisya,বাণিেজ,banij," balia, banie, balil, bandh, basia, "," বলিয়া, বানিয়ে, বলিল, বন্ধ, বসিয়া, ",no
মন্ত্রণালয়,mantranalaya,মনত্রণালয়,manatranalaya," mantranalaya, mantranalay, mantranalayk, "," মন্ত্রণালয়, মন্ত্রণালয়ে, মন্ত্রণালয়কে, ",yes
নিষিদ্ধও,nishiddhao,নিষিদডও,nishidado, , ,no
উল্টো,ulto,উলতো,ulto," ulto, ulte, ulta, ultoi, tulte, "," উল্টো, উল্টে, উল্টা, উলটোই, তুলতে, ",yes
প্রভাব,prabhava,পরভাব,parabhav," prabhava, prabhat, prabhave, parasav, jvarabhav, "," প্রভাব, প্রভাত, প্রভাবে, পরাভব, জ্বরভাব, ",yes
নিষিদ্ধ,nishidh,নিষিদদ,nishidad," nishidh, nishidin, nishipal, nishad, "," নিষিদ্ধ, নিশিদিন, নিশিপাল, নিষাদ, ",yes
ব্যাংকের,vyanker,বাাংকের,baker," buker, baper, baker, balker, baner, "," বুকের, ব্যাপার, বাকের, বালকের, বনের, ",no
প্রশিক্ষণ,prashikshan,পরশিক্ষণ,parashikshan," prashikshan, prashikshak, prashikshane, prashikshano, "," প্রশিক্ষণ, প্রশিক্ষক, প্রশিক্ষণে, প্রশিক্ষণও, ",yes
ব্যাংক,vyank,েবাংক,baank," baank, baanka, baan, baani, jaani, "," বাঁক, বাঁকা, বাণ, বাণী, জানি, ",no
ব্যবসায়,vyavsa,বাবসায়,bavasa," bavasa, sahasa, baas, vyavasa, aasa, "," ব্যাবসা, সহসা, বাস, ব্যবসা, আসা, ",no
মুখ্য,mukhya,মুেখ,mukh," mukh, mukhe, sukh, mukho, murkh, "," মুখ, মুখে, সুখ, মুখো, মূর্খ, ",no
ব্যবস্থাপনা,vyavasthapana,বাবস্থাপনা,bavasthapana," vyavasthapana, avasthapan, "," ব্যবস্থাপনা, অবস্থাপন, ",yes
শীর্ষক,shirshak,শীরশক,shirshak," shirshak, shikshak, shiksha, shikshar, shirshe, "," শীর্ষক, শিক্ষক, শিক্ষা, শিক্ষার, শীর্ষে, ",yes
দিনব্যাপী,dinvyapi,দিনবাাপী,dinwapi," dinai, dinvyapi, dinmani, diwani, "," দিনই, দিনব্যাপী, দিনমণি, দিওয়ানি, ",yes
কোর্সের,courser,কোরসের,korsser," krosser, krosher, bosser, lordser, forser, "," ক্রোড়ের, ক্রোশের, বোসের, লর্ডসের, ফোর্সের, ",no
ইনস্টিটিউটে,institut,ইনসতিটিউটে,institut," institut, institute, instituty, inshtitute, "," ইনস্টিটিউটে, ইনস্টিটিউট, ইনস্টিটিউটি, ইনষ্টিটিউট, ",yes
কর্মসূচিতে,karmasuchite,করসূচিতে,karasuchite," karmasuchite, karachite, "," কর্মসূচিতে, করাচিতে, ",yes
কর্মকর্তা,karmakarta,করকর্তা,karkarta," karata, karanta, karmarat, karukarya, kartara, "," করাটা, কারণটা, কর্মরত, কারুকার্য, কর্তারা, ",no
কোর্স,course,কোরস,coras," cora, coral, royas, chorai, corak, "," কোরা, coral, রয়েছে, চোরাই, কোরক, ",no
অনুষ্ঠানে,anusthan,অনুষতানে,anushatan," anushasan, anusaran, anushilan, anughatan, anudhavan, "," অনুশাসন, অনুসরণ, অনুশীলন, অনুঘটন, অনুধাবন, ",no
প্রশিক্ষণার্থীদের,prashikshanarthider,পরশিক্ষণার্থীদের,parashikshanarthider," prashikshanarthider, "," প্রশিক্ষণার্থীদের, ",yes
উপব্যবস্থাপনা,upavyavasthapana,উপেববস্থাপনা,upevbasthapana, , ,no
ইনস্টিটিউটের,instituter,ইনসতিটিউটের,instituter," instituter, institute, inshtituter, instituteg, institut, "," ইনস্টিটিউটের, ইনস্টিটিউট, ইনষ্টিটিউটের, ইনস্টিটিউটগ, ইনস্টিটিউটে, ",yes
কোর্সটি,corsety,কোরসটি,corsti," comiti, cort, corsety, coast, coshti, "," কমিটির, কোর্টে, কোর্সটি, কোস্ট, কোষ্ঠী, ",yes
সমন্বয়,samanva,সমনয়,samanaya," samanya, samasya, asamanya, samanjasya, amanya, "," সামান্য, সমস্যা, অসামান্য, সামঞ্জস্য, অমান্য, ",no
সদস্য,sadasya,সদেস,sades," sade, sandeh, pade, hayes, aadesh, "," সাড়ে, সন্দেহ, পাড়ে, হয়েছে, আদেশ, ",no
শিপ্রা,shipra,শিপরা,shipara," shikar, shighra, shiharia, shilara, shipra, "," শীকর, শীঘ্র, শিহরিয়া, শিলারের, শিপ্রা, ",yes
বিশ্বাস,vishwas,বিশাস,vishas," vishwas, vishay, visham, vishal, vishan, "," বিশ্বাস, বিষয়ে, বিষম, বিশাল, ভিশন, ",yes
কোর্সে,course,কোরসে,korse," koro, kone, karte, korte, kore, "," কোরো, কোণে, করতেই, কোরতে, কোরি, ",no
সম্পদ,sampada,সপদ,sapad," kapad, samay, sakal, sanad, sampada, "," কাপড়, সময়, সকাল, সনদ, সম্পদ, ",yes
লন্ডারিং,landaring,লনদারিং,landaring," landaring, mandarin, wandering, "," লন্ডারিং, মান্দারিন, wandering, ",yes
অভ্যন্তরীণ,abhyantarin,অেভন্তরীণ,abhantarin," abhyantarin, abhyantarik, "," অভ্যন্তরীণ, আভ্যন্তরিক, ",yes
নিয়ন্ত্রণ,niyantran,নিয়নত্রণ,niyanthran," niyantran, niyantrane, nimanthran, niyantrak, niyantrano, "," নিয়ন্ত্রণ, নিয়ন্ত্রণে, নিমণ্ত্রণ, নিয়ন্ত্রক, নিয়ন্ত্রণও, ",no
পরিবেশবান্ধব,pariweshvandhav,পরিবেশবানধব,pariweshvandhav," pariweshvandhav, "," পরিবেশবান্ধব, ",yes
ব্যাংকিং,vyanking,বাাংকিং,batking," bating, bathing, banking, batain, batin, "," ব্যাটিং, bathing, ব্যাঙ্কিং, বটেন, ব্যাটিংয়ে, ",no
সম্পর্কেও,samparkeo,সপর্কেও,saparkeo," samparkeo, samparker, sarkarkeo, samparkei, safareo, "," সম্পর্কেও, সম্পর্কের, সরকারকেও, সম্পর্কেই, সফরেও, ",yes
বাণিজ্যিক,banigyik,বাণিেজিক,banisic," banisya, baisi, basic, banii, baniti, "," বাণিজ্য, বয়সী, বেসিক, বাণীই, বাণীটি, ",no
ব্যাংকগুলোতে,vyankagulote,েবাংকগুলোতে,bankagulote," vyankagulote, "," ব্যাংকগুলোতে, ",yes
ক্ষুুদ্রঋণ,khudrarun,খুুদ্রঋণ,khudrarun," khudrarun, "," ক্ষুুদ্রঋণ, ",yes
সংস্থার,sansthar,সংসতার,sansatar," sansaar, sansarer, sansar, sanskar, santar, "," সংসার, সংসারের, সংসারে, সংস্কার, সাঁতার, ",no
ব্যবস্থা,vyavastha,েববস্থা,babastha," avastha, basasthan, babasah, anastha, baystha, "," অবস্থা, বাসস্থান, বাবাসহ, অনাস্থা, বয়স্থা, ",no
ব্যবস্থার,vyavasthar,েববস্থার,babasthar," avasthar, basasthan, aasthar, babsadhar, "," অবস্থার, বাসস্থান, আস্থার, ব্যাবসাদার, ",no
সার্বিক,sarvik,সারিক,sarik," saria, samrik, karia, sarvik, sari, "," সরিয়া, সামরিক, করিয়া, সার্বিক, শাড়ি, ",yes
উন্নয়নের,unnayaner,উহ্নয়নের,uhnayaner," ushnayaner, unnayaner, nayaner, unnayane, "," উষ্ণায়নের, উন্নয়নের, নয়নের, উন্নয়নে, ",yes
লক্ষ্যে,lakshye,লক্ক্যে,lakkye," lakshye, lokke, baakye, aikye, lakshe, "," লক্ষ্যে, লোককে, বাক্যে, ঐক্যে, লক্ষে, ",yes
অঙ্কে,anke,অংকে,anke," anke, anyke, anker, banke, atke, "," অঙ্কে, অন্যকে, অঙ্কের, বাঁকে, আটকে, ",yes
প্রস্তাব,prastab,পরস্তাব,parastab," prastab, paraspar, parasav, paratai, prastar, "," প্রস্তাব, পরস্পর, পরাভব, পারাটাই, প্রস্তর, ",yes
ক্ষুদ্রঋণ,khudrarun,খুদ্রঋণ,khudrarun," khudrarun, "," ক্ষুুদ্রঋণ, ",no
সংস্থাসমূহের,sansthasmuher,সংসটাসমূহের,sansatasmuher," sansthasmuher, "," সংস্থাসমূহের, ",yes
নেটওয়ার্ক,network,নেটওয়ারক,netoyarak," netoyrk, "," নেটওয়র্ক, ",no
প্রেসক্লাব,pressclab,পরেসক্লাব,paresaklab, , ,no
সম্মেলনে,sammelne,সমেলনে,samelne," sammelne, sammelner, samale, samule, samalie, "," সম্মেলনে, সম্মেলনের, সামলে, সমূলে, সামলিয়ে, ",yes
কোস্ট,coast,কোসত,kosat," kast, karat, komal, kasht, khat, "," কষ্ট, করত, কোমল, কষ্টে, খাট, ",no
ট্রাস্ট,trust,তরাস্ট,tarust," trust, tarun, taruni, trupt, karush, "," ট্রাস্ট, তরুণ, তরুণী, তৃপ্ত, কৃশ, ",yes
ক্রেডিট,credit,করেডিট,karedit," karit, karesil, karedis, karedile, kareni, "," করিত, করেছিল, করেছিস, করেছিলে, করেনি, ",no
অ্যান্ড,and,েঅান্ড,and," and, mand, dand, andh, bandh, "," অ্যান্ড, মন্দ, দণ্ড, অন্ধ, বন্ধ, ",yes
ডেভেলপমেন্ট,develpament,ডেভেলপমেনট,develpamenat," develpament, "," ডেভেলপমেন্ট, ",yes
ইন্টারন্যাশনাল,internashnal,ইনটারন্যাশনাল,intaranashnal," intaranashnal, internashnal, intranyashnal, "," ইণ্টারন্যাশনাল, ইন্টারন্যাশনাল, ইন্টরন্যাশনল, ",yes
ফাইন্যান্সিয়াল,financial,ফাইনাান্সিয়াল,financial," financial, financially, financing, "," ফাইন্যান্সিয়াল, financially, ফাইন্যান্সিং, ",yes
ইনস্টিটিউশন,institushan,ইনসতিটিউশন,institushan," institushan, inistitushan, institushne, "," ইনস্টিটিউশন, ইনিস্টিটিউশন, ইনস্টিটিউশনে, ",yes
সম্মেলনের,sammelner,সমেলনের,samelner," sammelner, samaner, sammelne, sammaner, ramener, "," সম্মেলনের, সামনের, সম্মেলনে, সম্মানের, রমেনের, ",yes
নির্বাহী,nirvahi,নিরাহী,nirahi," nirvahi, nirave, nidhi, nidrahin, nirani, "," নির্বাহী, নীরবে, নিধি, নিদ্রাহীন, নিড়ানি, ",yes
সম্মেলন,sammelan,সমেলন,samelan," sammelan, samaran, sammaan, saman, samapan, "," সম্মেলন, স্মরণ, সম্মান, সামনে, সমাপন, ",yes
সঞ্চালনা,sanchalana,সঞচালনা,sanchalana," sanchalana, sanchalan, sanchalna, sancharan, sachalata, "," সঞ্চালনা, সঞ্চালন, সঞ্চালনায়, সঞ্চরণ, সচলতা, ",yes
ট্রাস্টের,traster,তরাস্টের,taraster," traster, taraite, barister, taranger, tadanter, "," ট্রাস্টের, তাড়াইতে, ব্যারিস্টার, তরঙ্গের, তদন্তের, ",yes
মোস্তফা,mostapha,মোসতফা,mostapha," mostapha, mustapha, mustaphar, "," মোস্তফা, মুস্তাফা, মুস্তাফার, ",yes
আকন্দ,akand,আকনদ,aakanad," aakaar, artanad, aakanth, aakaal, akand, "," আকার, আর্তনাদ, আকণ্ঠ, আকাল, আকন্দ, ",yes
আতিকুন্নবী,atikunnavi,আতিকুহ্নবী,atikuhnavi," atikunnavi, "," আতিকুন্নবী, ",yes
প্রমুখ,pramukh,পরমুখ,paramukh," pramukh, paranmukh, paramrsh, parakh, poramukhi, "," প্রমুখ, পরাঙ্মুখ, পরামর্শে, পরখ, পোড়ামুখী, ",yes
বক্তব্যে,baktvye,বকতব্যে,bakatvye," baktvye, baktavyer, baktavyeo, baktavya, "," বক্তব্যে, বক্তব্যের, বক্তব্যেও, বক্তব্য, ",yes
সংস্থাগুলো,sansthagulo,সংসতাগুলো,sansatagulo," sansthagulo, "," সংস্থাগুলো, ",yes
দরিদ্র,daridra,দরিডর,daridor," karidor, daridrer, faridur, dwarider, dabidar, "," করিডর, দরিদ্রের, ফরিদুর, দ্বারীদের, দাবিদার, ",no
মৎস্য,masya,মৎসা,masa," masha, maas, mast, masy, aasa, "," মশা, মাস, মস্ত, মাসি, আসা, ",no
পশুসম্পদ,pashusampada,পশুসপদ,pashuspad," pashupat, "," পাশুপত, ",no
ব্যাংকে,vyanke,বাাংকে,bake," bake, baki, make, baje, buke, "," বকে, বাকি, মাকে, বাজে, বুকে, ",no
স্কয়ার,scyar,সকয়ার,sakayar," sakaler, takaar, samasyar, aakaar, samadar, "," সকালের, টাকার, সমস্যার, আকার, সমাদর, ",no
ফার্মাসিউটিক্যালসের,pharmaceuticalcer,ফারাসিউটিক্যালসের,faraciuticalcer, , ,no
এমপ্লয়ার্স,emplayars,এমপলয়ার্স,empalyars," emplayars, "," এমপ্লয়ার্স, ",yes
নির্বাচিত,nirvachit,নিরাচিত,nirachit," nirvachit, nischit, rachit, anirbachit, nirakrit, "," নির্বাচিত, নিশ্চিত, রচিত, অনির্বাচিত, নিরাকৃত, ",yes
টেক্সটাইলসের,textilser,টেকসটাইলসের,techstilser, , ,no
তত্ত্বাবধায়ক,tattwavadhayak,তটত্বাবধায়ক,tattwavdhayak," tattwavadhayak, "," তত্ত্বাবধায়ক, ",no
উপদেষ্টা,upadeshta,উপদেষতা,upadeshta," upadeshta, upadesh, upadeshti, upadesher, upadeshter, "," উপদেষ্টা, উপদেশ, উপদেশটি, উপদেশের, উপদেষ্টার, ",yes
মেট্রোপলিটন,metroplitan,মেতরোপলিটন,metaroplitan," metroplitan, metropolitan, "," মেট্রোপলিটন, মেট্রপলিটান, ",yes
চেম্বার,chember,চেবার,chevar," ekevar, chehara, devar, chikar, chadar, "," একেবারে, চেহারা, দেবর, চিৎকার, চাদর, ",no
কমার্স,commerce,কমারস,kamaras," kamala, amarai, samaran, kamara, kamars, "," কমলা, আমারই, স্মরণ, কামড়ে, কামরস, ",no
ইন্ডাস্ট্রির,industry,ইনদাস্ট্রির,indastry," industry, indrastra, "," ইন্ডাস্ট্রির, ইন্দ্রাস্ত্র, ",yes
শিল্পসহ,shilpsah,শিলপসহ,shilpasah," shilpsah, shilpayan, "," শিল্পসহ, শিল্পায়ন, ",yes
স্বাস্থ্যসেবা,swasthyaseva,সাস্থ্যসেবা,sasthyaseva," swasthyaseva, swasthyasevar, "," স্বাস্থ্যসেবা, স্বাস্থ্যসেবার, ",yes
প্রসাধন,prasadhan,পরসাধন,parasadhan," prasadhan, parasadhar, prasadhane, caryasadhan, prasadhani, "," প্রসাধন, পরসাধার, প্রসাধনে, কার্যসাধন, প্রসাধণী, ",yes
বস্ত্র,basture,বসট্র,bastr," basar, bastt, bastur, bistar, basta, "," বাসর, বস্তুত, বস্তুর, বিস্তার, বস্তা, ",no
তথ্যপ্রযুক্তি,tathyaprayukti,তেথপ্রযুক্তি,tethprayukti, , ,no
নেতৃস্থানীয়,netrusthanian,নেতৃসটানীয়,netrustanian," netrusthanian, "," নেতৃস্থানীয়, ",yes
উদ্যোক্তা,udyokta,উেদোক্তা,udokta," udyokta, dokta, lokta, udyoktar, bhokta, "," উদ্যোক্তা, দোক্তা, লোকটা, উদ্যোক্তার, ভোক্তা, ",yes
কনকর্ড,kanakard,কনকরদ,kanakarad," kanakard, kankara, "," কনকর্ড, কাঁকড়ার, ",yes
গার্মেন্টসের,garmentser,গারেন্টসের,garrentser," garmentser, garmentse, garmenter, "," গার্মেন্টসের, গার্মেন্টসে, গার্মেন্টের, ",yes
কার্যনির্বাহী,caryanirbahi,কােরনির্বাহী,karnirbahi, , ,no
পর্ষদের,parshader,পরশদের,parasder," paresher, barander, paraspar, prasader, garader, "," পরেশের, বারান্দার, পরস্পর, প্রাসাদের, গরাদের, ",no
সদস্যরা,sadasyara,সদসারা,sadsara," sansar, sansaar, sadasyara, sadasya, sadhana, "," সংসারে, সংসার, সদস্যরা, সদস্য, সাধনা, ",yes
মোহাম্মদ,mohammad,মোহামদ,mohamad," mohammad, muhammad, mohama, ahamad, mahamud, "," মহম্মদ, মুহাম্মদ, মোহময়, আহমদ, মাহমুদ, ",no
বেঙ্গল,bengal,বেংগল,bengal," bengal, bengali, bangla, mangal, bungal, "," বেঙ্গল, বাঙালি, বাঙ্গলা, মঙ্গল, বাঙ্গাল, ",yes
গ্লাস,glass,গলাস,galas," gala, alas, gaan, galp, gelas, "," গলা, অলস, গান, গল্প, গেলাস, ",no
ওয়ার্কসের,workser,ওয়ারকসের,warkser," tarker, workser, narker, warner, marker, "," তর্কের, ওয়ার্কসের, নরকের, ওয়ার্নের, মার্কার, ",yes
জাহাঙ্গির,jahangir,জাহাংগির,jahangir," jahangir, jahangiry, jahnvir, bhangir, jaagir, "," জাহাঙ্গীর, জাহাঙ্গীরি, জাহ্নবীর, ভঙ্গির, জাগির, ",no
গ্রিন,green,গরিন,garin," karia, karit, harin, gaan, paril, "," করিয়া, করিত, হরিণ, গান, পারিল, ",no
ডেল্টা,delta,ডেলতা,delata," ekata, dewata, devatha, delta, denata, "," একতা, দেওয়াটা, দেবতা, ডেল্টা, দেনাটা, ",yes
ইনস্যুরেন্স,insurance,ইনসাুরেন্স,insurance," insurance, insurencer, "," ইনসিওরেন্স, ইনস্যুরেন্সের, ",no
কোম্পানির,companies,কোপানির,kopanies," companies, keranies, kopanle, "," কোম্পানির, কেরানির, কোপানলে, ",yes
ব্রোকারেজের,brokarager,রোকারেজের,rokarager," brokarager, "," ব্রোকারেজের, ",yes
খোন্দকার,khondkar,খোনদকার,khondkar," khondkar, khandkar, khokar, khonda, khondakark, "," খোন্দকার, খন্দকার, খোকার, খোঁড়া, খোন্দকারকে, ",yes
চেয়ারম্যান,cheyarman,চেয়ারমাান,cheyarman," cheyarman, "," চেয়ারম্যান, ",yes
টেকনোহ্যাভেন,technohaven,টেকনোহাাভেন,technohaven," technohaven, "," টেকনোহ্যাভেন, ",yes
হাবিবুল্লাহ,habibullah,হাবিবুললাহ,habibullah," habibullah, "," হাবিবুল্লাহ, ",yes
ল্যাম্পসের,lampser,েলাম্পসের,lampser," lampser, lamper, lampher, campaser, lamphe, "," ল্যাম্পসের, ল্যাম্পের, লম্ফের, ক্যাম্পাসের, লম্ফে, ",yes
মঈনউদ্দীন,mainuddin,মঈনউদদীন,mainaudadin," mainuddin, "," মঈনউদ্দীন, ",yes
মার্কিন,markin,মারকিন,markin," markin, maria, martin, marking, marin, "," মার্কিন, মরিয়া, মার্টিন, মার্কিং, মারিন, ",yes
ক্রেতারা,kretara,করেতারা,karetara," kretara, kartara, kartaar, kretarav, karebari, "," ক্রেতারা, কর্তারা, কর্তার, ক্রেতারাও, করেবাড়ি, ",yes
কর্মপরিবেশের,karmparibesher,করপরিবেশের,karaparibesher," karmparibesher, "," কর্মপরিবেশের, ",yes
উন্নয়নে,unnayane,উহ্নয়নে,uhnayane," unnayane, nayane, unnayan, ushnayaner, unnayaner, "," উন্নয়নে, নয়নে, উন্নয়ন, উষ্ণায়নের, উন্নয়নের, ",yes
আনুষ্ঠানিকভাবে,anushthanikbhave,আনুষতানিকভাবে,aanushatanikbhave, , ,no
যুক্তরাষ্ট্র,yuktarashtra,যুকতরাষ্ট্র,yuktarashtra," yuktarashtra, yuktarashtrao, "," যুক্তরাষ্ট্র, যুক্তরাষ্ট্রও, ",yes
প্রতিষ্ঠান,pratishthan,পরতিষ্ঠান,paratisthan," pratisthan, pratishthan, pratistha, praptisthan, paristhan, "," প্রতিষ্ঠানে, প্রতিষ্ঠান, প্রতিষ্ঠা, প্রাপ্তিস্থান, পরীস্থান, ",yes
শ্রমিকদের,shramikder,শরমিকদের,sharmikder," shramikder, shramiker, dharmikader, shramikker, shariker, "," শ্রমিকদের, শ্রমিকের, ধার্মিকদের, শ্রমিককের, শরিকের, ",yes
নিরাপত্তায়,nirapatta,নিরাপতটায়,nirapatta," nirapatta, nirapattar, nirapada, nirapattai, nirapatte, "," নিরাপত্তায়, নিরাপত্তার, নিরাপদ, নিরাপত্তাই, নিরাপত্তে, ",yes
কর্মপরিকল্পনার,karmparikalpanar,করপরিকল্পনার,karparikalpanar," karmparikalpanar, karmparikalpana, "," কর্মপরিকল্পনার, কর্মপরিকল্পনায়, ",yes
কর্মপরিকল্পনায়,karmparikalpana,করপরিকল্পনায়,karparikalpana," karmparikalpana, karmparikalpanar, "," কর্মপরিকল্পনায়, কর্মপরিকল্পনার, ",yes
পরিদর্শন,paridarshan,পরিদরশন,paridarshan," paridarshan, paridarshak, paridarshane, pradarshan, prindarshan, "," পরিদর্শন, পরিদর্শক, পরিদর্শনে, প্রদর্শন, প্রিয়দর্শন, ",yes
সুনির্দিষ্ট,sunirdisht,সুনিরডিষ্ট,sunirdisht," sunirdisht, nirdisht, anirdisht, "," সুনির্দিষ্ট, নির্দিষ্ট, অনির্দিষ্ট, ",yes
ওয়াশিংটনভিত্তিক,washingtonvittik,ওয়াশিংটনভিততিক,washingtonvitatik," washingtonvittik, "," ওয়াশিংটনভিত্তিক, ",yes
সংস্থা,sanstha,সংসটা,sansata," sansarta, sansar, sansaar, sankat, sansad, "," সংসারটা, সংসারে, সংসার, সঙ্কট, সাংসদ, ",no
বাইপার্টিজান,bypartijan,বাইপারতিজান,bipartijan," bypartijan, partijan, "," বাইপার্টিজান, পার্টিজান, ",yes
সেন্টারের,centre,সেনটারের,sentare," setake, centre, antare, dentare, santar, "," সেটাকে, সেন্টারের, অন্তরে, ডেনচার, সাঁতার, ",yes
দপ্তরে,daptar,দপতরে,dapatare," daptar, daptarer, sapatre, apatre, daktare, "," দপ্তরে, দপ্তরের, সৎপাত্রে, অপাত্রে, দফতরে, ",yes
অ্যালায়েন্স,allaence,েঅালায়েন্স,alaience," larence, allaence, "," লরেন্স, অ্যালায়েন্স, ",yes
ওয়ার্কার্স,workers,ওয়ারকার্স,warkars," sarkar, sarkari, sarkark, sarkare, workers, "," সরকার, সরকারি, সরকারকে, সরকারে, ওয়ার্কার্স, ",yes
পক্ষ,paksh,পক্ক,pakk," pakk, paka, paak, pake, pank, "," পক্ক, পাকা, পাক, পাকে, পাঁকে, ",no
কর্মপরিকল্পনা,karmparikalpana,করপরিকল্পনা,karparikalpana," karmparikalpana, karmparikalpanar, "," কর্মপরিকল্পনায়, কর্মপরিকল্পনার, ",no
নিরাপত্তার,nirapattar,নিরাপততার,nirapattar," nirapattar, nirapatta, nirapattai, nirapatte, "," নিরাপত্তার, নিরাপত্তায়, নিরাপত্তাই, নিরাপত্তে, ",yes
উদ্যোগ,udyog,উেদোগ,udog," udyog, udo, uddl, dog, udom, "," উদ্যোগ, উড়ো, উঠল, ডগ্‌, উদোম, ",yes
প্রধান,pradhan,পরধান,paradhan," pradhan, paradhan, paradin, samadhan, sabadhan, "," প্রধান, পরধন, পরদিন, সমাধান, সাবধান, ",yes
কর্মকর্তারা,karmakartara,করকর্তারা,karkartara, , ,no
নিরাপত্তা,nirapatta,নিরাপটটা,nirapatta," nirapatta, nirapattar, nirapada, nirapattai, nirapatte, "," নিরাপত্তায়, নিরাপত্তার, নিরাপদ, নিরাপত্তাই, নিরাপত্তে, ",no
পরিস্থিতি,paristhite,পরিসটিতি,paristiti," paristhite, paristiter, parichiti, parintite, parintii, "," পরিস্থিতি, পরিস্থিতির, পরিচিতি, পরিণতিতে, পরিণতিই, ",yes
গ্রহণযোগ্য,grahanyogya,গরহণযোগ্য,garhanyogya," grahanyogya, agrahanyogya, bahanyogya, sahanyogya, manhanyogya, "," গ্রহণযোগ্য, অগ্রহণযোগ্য, বহনযোগ্য, সহনযোগ্য, মন্হনযোগ্য, ",yes
পরিস্থিতির,paristiter,পরিসতিতির,paristitir," paristiter, parichitir, "," পরিস্থিতির, পরিচিতির, ",yes
সমন্বিত,samanvit,সমনিত,samanit," samanvit, samahit, sammanit, amani, samajik, "," সমন্বিত, সমাহিত, সম্মানিত, আমানী, সামাজিক, ",yes
সত্যিকার,satyikar,সতািকার,satakar," satyakar, sarkar, sahakari, sanskar, shatakara, "," সত্যকার, সরকার, সহকারী, সংস্কার, শতকরা, ",no
অগ্রগতির,agragati,অগরগতির,agargati," agragati, agarvati, asangati, agarvatir, agragatik, "," অগ্রগতি, আগরবাতি, অসংগতী, আগরবাতির, অগ্রগতিকে, ",no
প্রত্যেকের,pratyeker,পরত্যেকের,paratyeker," pratyeker, pratyeke, "," প্রত্যেকের, প্রত্যেকে, ",yes
মধ্য,madhya,মধা,madha," madhya, aadha, masha, katha, maha, "," মধ্য, আধা, মশা, কথা, মহা, ",yes
ভবিষ্যতে,bhavishyate,ভবিেষতে,bhavishate," bhavishyate, bhavishyater, bhavishyake, bhavishyat, bhashate, "," ভবিষ্যতে, ভবিষ্যতের, ভবিষ্যৎকে, ভবিষ্যত, ভাষাতে, ",yes
বিয়োগান্ত,bioganta,বিয়োগানত,bioganath," bholanath, bioganta, "," ভোলানাথ, বিয়োগান্ত, ",yes
লক্ষ্য,lakshya,লক্ক্য,lakkya," lakshya, bakya, aikya, lanka, aakhya, "," লক্ষ্য, বাক্য, ঐক্য, লঙ্কা, আখ্যা, ",yes
অংশীদারত্ব,anshidartva,অংশীদারত,anshidarat," anshidar, anshidarra, anshidari, "," অংশীদার, অংশীদাররা, অংশীদারী, ",no
সংশ্লিষ্ট,sanshlisht,সংশলিষ্ট,sanshalisht," sanshlisht, asanshlisht, "," সংশ্লিষ্ট, অসংশ্লিষ্ট, ",yes
পক্ষগুলোর,pakshagulor,পক্কগুলোর,pakkagulor," pakshagulor, bakyagulor, panyagulor, paedagulor, baksagulor, "," পক্ষগুলোর, বাক্যগুলোর, পণ্যগুলোর, পেয়েদাগুলোর, বাক্সগুলোর, ",yes
