correct word,transliterated correct word,misspelled word,transliterated misspelled word,transliterated candidate word from spellchecker,candidate word from spellchecker,found correct word or not
আকন্দ,akand,আকনদ,aakanad," aakaar, artanad, aakaal, aakanth, akand, "," আকার, আর্তনাদ, আকাল, আকণ্ঠ, আকন্দ, ",yes
আতিকুন্নবী,atikunnavi,আতিকুহ্নবী,atikuhnavi," atikunnavi, etkhani, atakhani, yatkhani, atkayani, "," আতিকুন্নবী, এতখানি, অতখানি, যতখানি, আটকায়নি, ",yes
প্রমুখ,pramukh,পরমুখ,paramukh," pramukh, paranmukh, paramrsh, parakh, poramukhi, "," প্রমুখ, পরাঙ্মুখ, পরামর্শে, পরখ, পোড়ামুখী, ",yes
বক্তব্যে,baktvye,বকতব্যে,bakatvye," baktvye, baktavyer, baktavyeo, baktavya, baktavyake, "," বক্তব্যে, বক্তব্যের, বক্তব্যেও, বক্তব্য, বক্তব্যকে, ",yes
সংস্থাগুলো,sansthagulo,সংসতাগুলো,sansatagulo," sansthagulo, sansthagulor, sansthaguli, sansthaguloke, sansad, "," সংস্থাগুলো, সংস্থাগুলোর, সংস্থাগুলির, সংস্থাগুলোকে, সাংসদ, ",yes
দরিদ্র,daridra,দরিডর,daridor," karidor, daridrer, daridrya, daridryer, faridur, "," করিডর, দরিদ্রের, দারিদ্র্য, দারিদ্র্যের, ফরিদুর, ",no
মৎস্য,masya,মৎসা,masa," masha, maas, mast, masy, aasa, "," মশা, মাস, মস্ত, মাসি, আসা, ",no
পশুসম্পদ,pashusampada,পশুসপদ,pashuspad," pashupat, "," পাশুপত, ",no
ব্যাংকে,vyanke,বাাংকে,bake," bake, baki, make, baje, buke, "," বকে, বাকি, মাকে, বাজে, বুকে, ",no
স্কয়ার,scyar,সকয়ার,sakayar," sakaler, takaar, samasyar, aakaar, samadar, "," সকালের, টাকার, সমস্যার, আকার, সমাদর, ",no
ফার্মাসিউটিক্যালসের,pharmaceuticalcer,ফারাসিউটিক্যালসের,faraciuticalcer," frkata, forget, fargate_mi_drug, vruckdeba, vrukadipti, "," ফ্রকটা, forget, ফরগেট_মি_ড্রাগ, বৃকদেবা, বৃকদীপ্তি, ",no
এমপ্লয়ার্স,emplayars,এমপলয়ার্স,empalyars," emplayars, employees, emplaad, emplaij, employee, "," এমপ্লয়ার্স, employees, এমপ্লয়েড, এমপ্লয়িজ, employee, ",yes
নির্বাচিত,nirvachit,নিরাচিত,nirachit," nirvachit, nischit, rachit, anirbachit, nirakrit, "," নির্বাচিত, নিশ্চিত, রচিত, অনির্বাচিত, নিরাকৃত, ",yes
টেক্সটাইলসের,textilser,টেকসটাইলসের,techstilser," textilser, textiler, textiles, textile, techst, "," টেক্সটাইলসের, টেক্সটাইলের, টেক্সটাইলস, টেক্সটাইল, টেকস্ট, ",yes
তত্ত্বাবধায়ক,tattwavadhayak,তটত্বাবধায়ক,tattwavdhayak," tattwavadhayak, tattwavadhane, tattwavadhaner, tattwavadhanei, tattvata, "," তত্ত্বাবধায়ক, তত্ত্বাবধানে, তত্ত্বাবধানের, তত্ত্বাবধানেই, তত্ত্বটা, ",no
উপদেষ্টা,upadeshta,উপদেষতা,upadeshta," upadeshta, upadesh, upadeshti, upadesher, upadeshter, "," উপদেষ্টা, উপদেশ, উপদেশটি, উপদেশের, উপদেষ্টার, ",yes
মেট্রোপলিটন,metroplitan,মেতরোপলিটন,metaroplitan," metroplitan, metropolitan, mutrapatan, matrupalit, matruparityakt, "," মেট্রোপলিটন, মেট্রপলিটান, মূত্রপতন, মাতৃপালিত, মাতৃপরিত্যক্ত, ",yes
চেম্বার,chember,চেবার,chevar," ekevar, chehara, devar, chikar, chadar, "," একেবারে, চেহারা, দেবর, চিৎকার, চাদর, ",no
কমার্স,commerce,কমারস,kamaras," kamala, amarai, samaran, kamara, kamars, "," কমলা, আমারই, স্মরণ, কামড়ে, কামরস, ",no
ইন্ডাস্ট্রির,industry,ইনদাস্ট্রির,indastry," industry, indrastra, industries, industrial, industriese, "," ইন্ডাস্ট্রির, ইন্দ্রাস্ত্র, ইন্ডাস্ট্রিজ, ইন্ডাস্ট্রিয়াল, ইন্ডাস্ট্রিজে, ",yes
শিল্পসহ,shilpsah,শিলপসহ,shilpasah," shilpsah, shilpayan, shilpsv, sholobasar, shilpasakrant, "," শিল্পসহ, শিল্পায়ন, শিল্পস্ব, ষোলোবৎসর, শিল্পসংক্রান্ত, ",yes
স্বাস্থ্যসেবা,swasthyaseva,সাস্থ্যসেবা,sasthyaseva," swasthyaseva, swasthyasevar, swasthy_seva, swasthyasammat, swasthyasmasya, "," স্বাস্থ্যসেবা, স্বাস্থ্যসেবার, স্বাস্থ্য_সেবা, স্বাস্থ্যসম্মত, স্বাস্থ্যসমস্যা, ",yes
প্রসাধন,prasadhan,পরসাধন,parasadhan," prasadhan, parasadhar, prasadhane, caryasadhan, prasadhani, "," প্রসাধন, পরসাধার, প্রসাধনে, কার্যসাধন, প্রসাধণী, ",yes
বস্ত্র,basture,বসট্র,bastr," basar, bastt, bastur, bistar, basta, "," বাসর, বস্তুত, বস্তুর, বিস্তার, বস্তা, ",no
তথ্যপ্রযুক্তি,tathyaprayukti,তেথপ্রযুক্তি,tethprayukti," tathyaprayukti, tathy_prayukti, tathyaprayuktite, tathyaprayuktibid, tathyaprayuktibidder, "," তথ্যপ্রযুক্তি, তথ্য_প্রযুক্তি, তথ্যপ্রযুক্তিতে, তথ্যপ্রযুক্তিবিদ, তথ্যপ্রযুক্তিবিদদের, ",yes
নেতৃস্থানীয়,netrusthanian,নেতৃসটানীয়,netrustanian," netrusthanian, netrasima, nidrasanwarner, nidrasthik, netarasah, "," নেতৃস্থানীয়, নেত্রসীমা, নিদ্রাসংবরণের, নিদ্রাসঠিক, নেতারাসহ, ",yes
উদ্যোক্তা,udyokta,উেদোক্তা,udokta," udyokta, dokta, lokta, udyoktar, udyoktader, "," উদ্যোক্তা, দোক্তা, লোকটা, উদ্যোক্তার, উদ্যোক্তাদের, ",yes
কনকর্ড,kanakard,কনকরদ,kanakarad," kanakard, kankara, kanyakartar, kanyakartader, ganakar, "," কনকর্ড, কাঁকড়ার, কন্যাকর্তার, কন্যাকর্তাদের, গণৎকার, ",yes
গার্মেন্টসের,garmentser,গারেন্টসের,garrentser," garmentser, garmentse, garmenter, granther, granthi, "," গার্মেন্টসের, গার্মেন্টসে, গার্মেন্টের, গ্রন্থের, গ্রন্থি, ",yes
কার্যনির্বাহী,caryanirbahi,কােরনির্বাহী,karnirbahi," caryanirbahi, karner, karuner, keranira, kar_nirdharan, "," কার্যনির্বাহী, কারণের, করুণার, কেরানিরা, কর_নির্ধারণ, ",yes
পর্ষদের,parshader,পরশদের,parasder," paresher, barander, paraspar, prasader, garader, "," পরেশের, বারান্দার, পরস্পর, প্রাসাদের, গরাদের, ",no
সদস্যরা,sadasyara,সদসারা,sadsara," sansar, sansaar, sadasyara, sadasya, sadhana, "," সংসারে, সংসার, সদস্যরা, সদস্য, সাধনা, ",yes
মোহাম্মদ,mohammad,মোহামদ,mohamad," mohammad, muhammad, mohama, ahamad, mahamud, "," মহম্মদ, মুহাম্মদ, মোহময়, আহমদ, মাহমুদ, ",no
বেঙ্গল,bengal,বেংগল,bengal," bengal, bengali, bangla, mangal, bungal, "," বেঙ্গল, বাঙালি, বাঙ্গলা, মঙ্গল, বাঙ্গাল, ",yes
গ্লাস,glass,গলাস,galas," gala, alas, gaan, galp, gelas, "," গলা, অলস, গান, গল্প, গেলাস, ",no
ওয়ার্কসের,workser,ওয়ারকসের,warkser," tarker, workser, narker, warner, marker, "," তর্কের, ওয়ার্কসের, নরকের, ওয়ার্নের, মার্কার, ",yes
জাহাঙ্গির,jahangir,জাহাংগির,jahangir," jahangir, jahangiry, jahangirer, jahnvir, bhangir, "," জাহাঙ্গীর, জাহাঙ্গীরি, জাহাঙ্গীরের, জাহ্নবীর, ভঙ্গির, ",no
গ্রিন,green,গরিন,garin," karia, karit, harin, gaan, paril, "," করিয়া, করিত, হরিণ, গান, পারিল, ",no
ডেল্টা,delta,ডেলতা,delata," ekata, dewata, devatha, delta, denata, "," একতা, দেওয়াটা, দেবতা, ডেল্টা, দেনাটা, ",yes
ইনস্যুরেন্স,insurance,ইনসাুরেন্স,insurance," insurance, insurencer, insurencero, insuorenc, anusaran, "," ইনসিওরেন্স, ইনস্যুরেন্সের, ইনস্যুরেন্সেরও, ইন্‌সুয়োরেন্স্‌, অনুসরণ, ",no
কোম্পানির,companies,কোপানির,kopanies," companies, keranies, kopanle, gopanhasya, gabunis, "," কোম্পানির, কেরানির, কোপানলে, গোপনহাস্য, গবুনিস, ",yes
ব্রোকারেজের,brokarager,রোকারেজের,rokarager," brokarager, ragaragi, rokharukhi, ragarg, rogir_ghar, "," ব্রোকারেজের, রাগারাগি, রোখারুখি, রগরগে, রোগীর_ঘর, ",yes
খোন্দকার,khondkar,খোনদকার,khondkar," khondkar, khandkar, khokar, khonda, khondakark, "," খোন্দকার, খন্দকার, খোকার, খোঁড়া, খোন্দকারকে, ",yes
চেয়ারম্যান,cheyarman,চেয়ারমাান,cheyarman," cheyarman, cheyarmaner, cheyarmanke, cheyarmander, shermin, "," চেয়ারম্যান, চেয়ারম্যানের, চেয়ারম্যানকে, চেয়ারম্যানদের, শারমীন, ",yes
টেকনোহ্যাভেন,technohaven,টেকনোহাাভেন,technohaven," technohaven, "," টেকনোহ্যাভেন, ",yes
হাবিবুল্লাহ,habibullah,হাবিবুললাহ,habibullah," habibullah, habibul, "," হাবিবুল্লাহ, হাবিবুল, ",yes
ল্যাম্পসের,lampser,েলাম্পসের,lampser," lampser, lamper, lampher, campaser, lamphe, "," ল্যাম্পসের, ল্যাম্পের, লম্ফের, ক্যাম্পাসের, লম্ফে, ",yes
মঈনউদ্দীন,mainuddin,মঈনউদদীন,mainaudadin," mainuddin, mandit, mandader, mandodari, mandate, "," মঈনউদ্দীন, মণ্ডিত, মন্দাদের, মন্দোদরী, মন্দাতে, ",yes
মার্কিন,markin,মারকিন,markin," markin, maria, martin, marking, marin, "," মার্কিন, মরিয়া, মার্টিন, মার্কিং, মারিন, ",yes
ক্রেতারা,kretara,করেতারা,karetara," kretara, kartara, kartaar, kretarav, barevara, "," ক্রেতারা, কর্তারা, কর্তার, ক্রেতারাও, বারেবারেই, ",yes
কর্মপরিবেশের,karmparibesher,করপরিবেশের,karaparibesher," karmparibesher, karapravesher, karporeshner, karibar, karporeshan, "," কর্মপরিবেশের, কারাপ্রবেশের, করপোরেশনের, করিবর, করপোরেশন, ",yes
উন্নয়নে,unnayane,উহ্নয়নে,uhnayane," unnayane, nayane, unnayan, ushnayaner, unnayaner, "," উন্নয়নে, নয়নে, উন্নয়ন, উষ্ণায়নের, উন্নয়নের, ",yes
আনুষ্ঠানিকভাবে,anushthanikbhave,আনুষতানিকভাবে,aanushatanikbhave," anushthanikbhave, anushthanikta, anushthanik, anushtit, anushthaniktar, "," আনুষ্ঠানিকভাবে, আনুষ্ঠানিকতা, আনুষ্ঠানিক, অনুষ্ঠিত, আনুষ্ঠানিকতার, ",yes
যুক্তরাষ্ট্র,yuktarashtra,যুকতরাষ্ট্র,yuktarashtra," yuktarashtra, yuktarastrer, yuktarashtrao, yukt_rashtra, yuktarashtrasah, "," যুক্তরাষ্ট্র, যুক্তরাষ্ট্রের, যুক্তরাষ্ট্রও, যুক্ত_রাষ্ট্র, যুক্তরাষ্ট্রসহ, ",yes
প্রতিষ্ঠান,pratishthan,পরতিষ্ঠান,paratisthan," pratisthan, pratishthan, pratistha, pratisthaner, pratisthanti, "," প্রতিষ্ঠানে, প্রতিষ্ঠান, প্রতিষ্ঠা, প্রতিষ্ঠানের, প্রতিষ্ঠানটি, ",yes
শ্রমিকদের,shramikder,শরমিকদের,sharmikder," shramikder, shramiker, dharmikader, shramikera, shramikker, "," শ্রমিকদের, শ্রমিকের, ধার্মিকদের, শ্রমিকেরা, শ্রমিককের, ",yes
